time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-31T04:02:50.930Z,50.175,18.442,5,3.7,ml,24,80.2,,1.11,us,usp000dc8t,2014-11-07T01:24:27.755Z,"Poland",earthquake,,,,,reviewed,us,grf
2004-12-31T03:52:59.150Z,10.736,91.863,30,4.6,mb,10,115.1,,0.57,us,usp000dc8s,2014-11-07T01:24:27.753Z,"Andaman Islands, India region",earthquake,,,,9,reviewed,us,us
2004-12-31T03:29:59.020Z,50.322,18.83,5,2.9,ml,15,170.1,,1.16,us,usp000dc8r,2014-11-07T01:24:27.751Z,"Poland",earthquake,,,,,reviewed,us,zamg
2004-12-31T03:23:17.000Z,35.62,23.23,2,3.2,md,6,208.9,,,us,usp000dc8q,2014-11-07T01:24:27.749Z,"Crete, Greece",earthquake,,,,,reviewed,ath,ath
2004-12-31T03:18:01.700Z,2.067,126.671,50,4.7,mb,22,134.6,,0.72,us,usp000dc8p,2014-11-07T01:24:27.747Z,"Molucca Sea",earthquake,,,,19,reviewed,us,us
2004-12-31T03:08:18.400Z,4.915,93.086,24.6,4.8,mb,26,134.9,,0.74,us,usp000dc8n,2014-11-07T01:24:27.723Z,"off the west coast of northern Sumatra",earthquake,,35.9,,16,reviewed,us,us
2004-12-31T03:05:01.576Z,57.2587,-155.557,70.7,2.5,ml,,,,0.63,ak,ak004gtcie99,2019-02-13T02:13:00.024Z,"Alaska Peninsula",earthquake,,7.2,,,reviewed,ak,ak
2004-12-31T02:50:23.740Z,50.252,18.794,5,2.5,m,10,178.1,,1.32,us,usp000dc8m,2014-11-07T01:24:27.721Z,"Poland",earthquake,,,,,reviewed,us,war
2004-12-31T02:32:45.800Z,42.673,15.604,10,3,ml,32,138.3,,,us,usp000dc8k,2014-11-07T01:24:27.717Z,"Adriatic Sea",earthquake,,,,,reviewed,rom,ldg
2004-12-31T02:24:00.520Z,7.12,92.533,14,6.1,mwc,347,52.8,,0.92,us,usp000dc8j,2016-11-10T00:57:15.840Z,"Nicobar Islands, India region",earthquake,,,,,reviewed,us,hrv
2004-12-31T01:30:47.960Z,3.661,93.203,30,4.6,mb,8,291.9,,0.92,us,usp000dc8h,2014-11-07T01:24:27.682Z,"off the west coast of northern Sumatra",earthquake,,,,8,reviewed,us,us
2004-12-31T01:20:25.540Z,10.603,91.492,25.5,4.8,mb,20,158.2,,0.65,us,usp000dc8g,2014-11-07T01:24:27.679Z,"Andaman Islands, India region",earthquake,,,,16,reviewed,us,us
2004-12-31T01:12:28.890Z,49.199,156.057,28.8,4.8,mb,68,176,,0.55,us,usp000dc8f,2014-11-07T01:24:27.674Z,"Kuril Islands",earthquake,,14,,39,reviewed,us,us
2004-12-31T00:32:05.260Z,8.493,94.132,30,4.8,mb,16,124.3,,0.71,us,usp000dc8e,2014-11-07T01:24:27.672Z,"Nicobar Islands, India region",earthquake,,,,14,reviewed,us,us
2004-12-31T00:29:19.560Z,4.667,95.008,30,4.8,mb,16,183.1,,0.86,us,usp000dc8d,2014-11-07T01:24:27.670Z,"northern Sumatra, Indonesia",earthquake,,,,9,reviewed,us,us
2004-12-31T00:18:52.200Z,-38.31,177.1,51,3.8,ml,31,53.4,,,us,usp000dc8c,2014-11-07T01:24:27.667Z,"North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2004-12-30T23:54:42.640Z,20.951,97.758,20.1,5.1,mb,41,97.1,,1.21,us,usp000dc8b,2014-11-07T01:24:27.663Z,"Myanmar",earthquake,,22.8,,30,reviewed,us,us
2004-12-30T23:42:27.382Z,61.6194,-149.9864,40,2.9,ml,,,,0.69,ak,ak004gs13pci,2019-02-13T02:12:41.552Z,"Southern Alaska",earthquake,,1.1,,,reviewed,ak,ak
2004-12-30T23:37:48.500Z,-30.799,-71.403,40.4,3.3,md,4,232.9,,,us,usp000dc89,2014-11-07T01:24:27.656Z,"Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2004-12-30T23:32:41.500Z,38.54,24.43,44,3.3,md,10,113.8,,,us,usp000dc88,2014-11-07T01:24:27.654Z,"Aegean Sea",earthquake,,,,,reviewed,ath,ath
2004-12-30T23:32:05.540Z,19.216,-67.029,71.8,2.8,md,7,315,,,us,usp000dc87,2014-11-07T01:24:27.653Z,"Puerto Rico region",earthquake,,,,,reviewed,rspr,rspr
2004-12-30T23:12:26.200Z,37.54,20.74,23,3.6,ml,9,235.1,,,us,usp000dc86,2014-11-07T01:24:27.652Z,"Ionian Sea",earthquake,,,,,reviewed,ath,ath
2004-12-30T23:05:16.400Z,41.916,15.696,7.2,2.5,md,4,237.2,,,us,usp000dc85,2014-11-07T01:24:27.650Z,"southern Italy",earthquake,,,,,reviewed,rom,rom
